state,metropolitan_nonmetropolitan,county,violent_crime_count,murder_and_nonnegligent_manslaughter_count,rape_count,robbery_count,aggravated_assault_count,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson,year,state.1,county_clean,fips,county.1,labor_force,employed,unemployed,unemployment_pct,median_income,poverty_pct,bachelors_or_higher_pct,population,violent_crime_rate_per_100k,murder_and_nonnegligent_manslaughter_rate,rape_rate,robbery_rate,aggravated_assault_rate,county_state,poverty_bin,unemployment_bin,education_bin,GEOID,ALAND,land_area_sq_miles,population_density
ALABAMA,Metropolitan County,Autauga,54,1,7,0,46,221,46,143,32,1,2024,AL,AUTAUGA,01001,"Autauga County, AL",28467.0,27702.0,765.0,2.7,72481.0,11.3,29.1,59947,90.07957028708692,1.6681401905016098,11.676981333511268,0.0,76.73444876307404,"Autauga, ALABAMA",Medium-Low,Low,Medium-High,01001,1539631459,594.4550550041158,100.84362054854584
ALABAMA,Metropolitan County,Baldwin,137,0,4,0,133,170,23,142,5,2,2024,AL,BALDWIN,01003,"Baldwin County, AL",116653.0,113448.0,3205.0,2.7,78775.0,10.1,33.7,246989,55.46805728190324,0.0,1.619505322099365,0.0,53.84855195980388,"Baldwin, ALABAMA",Low,Low,High,01003,4117781416,1589.8843608541815,155.35029218559183
ALABAMA,Metropolitan County,Bibb,34,0,5,0,29,78,26,43,9,0,2024,AL,BIBB,01007,"Bibb County, AL",8710.0,8446.0,264.0,3.0,52541.0,22.5,11.7,22130,153.6375960234975,0.0,22.593764121102577,0.0,131.04383190239494,"Bibb, ALABAMA",High,Low,Low,01007,1612188713,622.4695685848737,35.551938788446286
ALABAMA,Metropolitan County,Blount,82,1,18,2,61,298,66,180,52,2,2024,AL,BLOUNT,01009,"Blount County, AL",26922.0,26204.0,718.0,2.7,64190.0,12.9,15.8,59518,137.7734466883968,1.680163984004839,30.2429517120871,3.360327968009678,102.49000302429516,"Blount, ALABAMA",Medium-Low,Low,Low,01009,1670259099,644.8906709220274,92.2916126463802
ALABAMA,Metropolitan County,Calhoun,238,2,5,0,231,192,48,144,0,8,2024,AL,CALHOUN,01015,"Calhoun County, AL",49605.0,47995.0,1610.0,3.2,55029.0,17.9,20.6,116090,205.01335170988023,1.7228012748729435,4.307003187182358,0.0,198.983547247825,"Calhoun, ALABAMA",High,Low,Medium-Low,01015,1569256885,605.893496417744,191.6013304093294
ALABAMA,Metropolitan County,Chilton,64,2,5,2,55,419,181,189,49,4,2024,AL,CHILTON,01021,"Chilton County, AL",20082.0,19520.0,562.0,2.8,65603.0,14.0,16.5,45992,139.15463558879804,4.348582362149939,10.871455905374848,4.348582362149939,119.58601495912332,"Chilton, ALABAMA",Medium-High,Low,Low,01021,1794443235,692.8384359309773,66.38199847876491
ALABAMA,Metropolitan County,Colbert,15,0,1,0,14,90,19,55,16,1,2024,AL,COLBERT,01033,"Colbert County, AL",25868.0,25014.0,854.0,3.3,60628.0,17.4,21.7,58022,25.85226293474889,0.0,1.7234841956499258,0.0,24.12877873909896,"Colbert, ALABAMA",High,Low,Medium-Low,01033,1535740663,592.9528102060705,97.85264358530566
ALABAMA,Metropolitan County,Elmore,41,2,3,0,36,314,105,188,21,1,2024,AL,ELMORE,01051,"Elmore County, AL",42656.0,41557.0,1099.0,2.6,78243.0,10.3,25.4,89526,45.796751781605344,2.233987891785626,3.3509818376784395,0.0,40.21178205214128,"Elmore, ALABAMA",Medium-Low,Low,Medium-High,01051,1601959016,618.5198603236772,144.74232072863467
ALABAMA,Metropolitan County,Etowah,13,2,0,0,11,55,14,33,8,4,2024,AL,ETOWAH,01055,"Etowah County, AL",42095.0,40710.0,1385.0,3.3,54563.0,16.9,18.1,103105,12.608505892051792,1.939770137238737,0.0,0.0,10.668735754813056,"Etowah, ALABAMA",Medium-High,Low,Medium-Low,01055,1386015447,535.1435786575073,192.6679196238424
ALABAMA,Metropolitan County,Henry,15,0,0,2,13,71,21,36,14,0,2024,AL,HENRY,01067,"Henry County, AL",7936.0,7683.0,253.0,3.2,59931.0,18.3,21.8,17647,85.00028333427778,0.0,0.0,11.333371111237035,73.66691222304074,"Henry, ALABAMA",High,Low,Medium-Low,01067,1455293386,561.8919415842853,31.406394528889862
ALABAMA,Metropolitan County,Houston,147,1,28,2,116,495,137,298,60,13,2024,AL,HOUSTON,01069,"Houston County, AL",48337.0,46815.0,1522.0,3.1,58626.0,17.5,23.0,108140,135.9348992047346,0.924727205474385,25.89236175328278,1.84945441094877,107.26835583502866,"Houston, ALABAMA",High,Low,Medium-High,01069,1501742250,579.825949000536,186.50424353446803
ALABAMA,Metropolitan County,Jefferson,650,11,24,79,536,2725,663,1663,399,17,2024,AL,JEFFERSON,01073,"Jefferson County, AL",320435.0,310499.0,9936.0,3.1,66388.0,15.7,36.2,667755,97.34109066948209,1.6473107651758505,3.594132578565492,11.830686404444744,80.26896092129599,"Jefferson, ALABAMA",Medium-High,Low,High,01073,2878917022,1111.5561238121566,600.7388972046587
ALABAMA,Metropolitan County,Lauderdale,95,1,14,0,80,274,41,191,42,0,2024,AL,LAUDERDALE,01077,"Lauderdale County, AL",43254.0,41855.0,1399.0,3.2,62649.0,12.2,29.8,95830,99.1338829176667,1.0435145570280706,14.609203798392986,0.0,83.48116456224564,"Lauderdale, ALABAMA",Medium-Low,Low,Medium-High,01077,1730157470,668.0175622435316,143.45431230603535
ALABAMA,Metropolitan County,Lawrence,19,0,0,3,16,50,11,25,14,1,2024,AL,LAWRENCE,01079,"Lawrence County, AL",15870.0,15438.0,432.0,2.7,66071.0,13.3,15.2,33276,57.09820891934127,0.0,0.0,9.015506671474938,48.08270224786633,"Lawrence, ALABAMA",Medium-Low,Low,Low,01079,1788864892,690.6846255658328,48.17828393492782
ALABAMA,Metropolitan County,Lee,216,5,26,6,179,539,80,391,68,3,2024,AL,LEE,01081,"Lee County, AL",88941.0,86408.0,2533.0,2.8,65824.0,18.9,42.4,181134,119.24873298221206,2.7603873375512054,14.354014155266269,3.3124648050614462,98.82186668433316,"Lee, ALABAMA",High,Low,High,01081,1573562418,607.5558720735386,298.1355432905363
ALABAMA,Metropolitan County,Macon,10,6,1,0,3,12,5,6,1,0,2024,AL,MACON,01087,"Macon County, AL",7675.0,7341.0,334.0,4.4,43707.0,24.3,21.1,18691,53.50168530308704,32.10101118185223,5.3501685303087045,0.0,16.050505590926115,"Macon, ALABAMA",High,Medium-High,Medium-Low,01087,1576435599,608.6652135067807,30.708178462036877
ALABAMA,Metropolitan County,Madison,286,8,30,9,239,1288,307,813,168,10,2024,AL,MADISON,01089,"Madison County, AL",219990.0,214307.0,5683.0,2.6,86499.0,10.1,46.4,405718,70.49231239432315,1.9718129341069413,7.394298502901029,2.218289550870309,58.90791140644487,"Madison, ALABAMA",Low,Low,High,01089,2076166271,801.6123128755809,506.12745523405147
ALABAMA,Metropolitan County,Mobile,265,6,15,13,231,800,189,474,137,8,2024,AL,MOBILE,01097,"Mobile County, AL",186408.0,179356.0,7052.0,3.8,58880.0,16.2,26.0,412590,64.2284107709833,1.454228168399622,3.635570420999055,3.150827698199181,55.98778448338544,"Mobile, ALABAMA",Medium-High,Medium-Low,Medium-High,01097,3184078558,1229.3796565852815,335.6082864963032
ALABAMA,Metropolitan County,Montgomery,80,2,14,11,53,390,46,293,51,0,2024,AL,MONTGOMERY,01101,"Montgomery County, AL",103732.0,100238.0,3494.0,3.4,59386.0,19.9,34.5,226718,35.286126377261624,0.8821531594315406,6.175072116020784,4.851842376873472,23.37705872493582,"Montgomery, ALABAMA",High,Medium-Low,High,01101,2034057754,785.354122876245,288.6825107248159
ALABAMA,Metropolitan County,Pickens,28,1,2,4,21,55,14,38,3,1,2024,AL,PICKENS,01107,"Pickens County, AL",6864.0,6596.0,268.0,3.9,46274.0,20.0,13.1,18721,149.56466000747824,5.34159500026708,10.68319000053416,21.36638000106832,112.17349500560869,"Pickens, ALABAMA",High,Medium-High,Low,01107,2282835043,881.4075752474529,21.2398900641898
ALABAMA,Metropolitan County,Russell,58,0,7,2,49,175,32,127,16,3,2024,AL,RUSSELL,01113,"Russell County, AL",22771.0,21944.0,827.0,3.6,51197.0,22.2,18.2,58811,98.62100627433642,0.0,11.902535240006122,3.4007243542874632,83.31774668004284,"Russell, ALABAMA",High,Medium-Low,Medium-Low,01113,1660653961,641.1821062491409,91.72277177858126
ALABAMA,Metropolitan County,Shelby,68,0,0,2,66,33,18,14,1,0,2024,AL,SHELBY,01117,"Shelby County, AL",122895.0,119936.0,2959.0,2.4,97961.0,7.2,46.8,230211,29.53811937744069,0.0,0.0,0.8687682169835499,28.669351160457147,"Shelby, ALABAMA",Low,Low,High,01117,2034316795,785.4541391697568,293.0928599387589
