state,metropolitan_nonmetropolitan,county,violent_crime,murder_and_nonnegligent_manslaughter,rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson,year
ALABAMA,Metropolitan County,Autauga,54,1,7,0,46,221,46,143,32,1,2024
ALABAMA,Metropolitan County,Baldwin,137,0,4,0,133,170,23,142,5,2,2024
ALABAMA,Metropolitan County,Bibb,34,0,5,0,29,78,26,43,9,0,2024
ALABAMA,Metropolitan County,Blount,82,1,18,2,61,298,66,180,52,2,2024
ALABAMA,Metropolitan County,Calhoun,238,2,5,0,231,192,48,144,0,8,2024
ALABAMA,Metropolitan County,Chilton,64,2,5,2,55,419,181,189,49,4,2024
ALABAMA,Metropolitan County,Colbert,15,0,1,0,14,90,19,55,16,1,2024
ALABAMA,Metropolitan County,Elmore,41,2,3,0,36,314,105,188,21,1,2024
ALABAMA,Metropolitan County,Etowah,13,2,0,0,11,55,14,33,8,4,2024
ALABAMA,Metropolitan County,Geneva,0,0,0,0,0,0,0,0,0,0,2024
ALABAMA,Metropolitan County,Greene,2,0,0,0,2,4,0,4,0,1,2024
ALABAMA,Metropolitan County,Henry,15,0,0,2,13,71,21,36,14,0,2024
ALABAMA,Metropolitan County,Houston,147,1,28,2,116,495,137,298,60,13,2024
ALABAMA,Metropolitan County,Jefferson,650,11,24,79,536,2725,663,1663,399,17,2024
ALABAMA,Metropolitan County,Lauderdale,95,1,14,0,80,274,41,191,42,0,2024
ALABAMA,Metropolitan County,Lawrence,19,0,0,3,16,50,11,25,14,1,2024
ALABAMA,Metropolitan County,Lee,216,5,26,6,179,539,80,391,68,3,2024
ALABAMA,Metropolitan County,Lowndes,16,0,0,0,16,15,1,14,0,0,2024
ALABAMA,Metropolitan County,Macon,10,6,1,0,3,12,5,6,1,0,2024
ALABAMA,Metropolitan County,Madison,286,8,30,9,239,1288,307,813,168,10,2024
ALABAMA,Metropolitan County,Mobile,265,6,15,13,231,800,189,474,137,8,2024
ALABAMA,Metropolitan County,Montgomery,80,2,14,11,53,390,46,293,51,0,2024
ALABAMA,Metropolitan County,Pickens,28,1,2,4,21,55,14,38,3,1,2024
ALABAMA,Metropolitan County,Russell,58,0,7,2,49,175,32,127,16,3,2024
