state,metropolitan_nonmetropolitan,county,violent_crime,murder_and_nonnegligent_manslaughter,rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson,year,state_abbr,county_clean,fips,county_name,labor_force,employed,unemployed,unemployment_rate,median_household_income,poverty_rate,bachelors_or_higher_pct
ALABAMA,Metropolitan County,Autauga,54,1,7,0,46,221,46,143,32,1,2024,AL,AUTAUGA,01001,"Autauga County, AL",28467.0,27702.0,765.0,2.7,72481.0,11.3,29.1
ALABAMA,Metropolitan County,Baldwin,137,0,4,0,133,170,23,142,5,2,2024,AL,BALDWIN,01003,"Baldwin County, AL",116653.0,113448.0,3205.0,2.7,78775.0,10.1,33.7
ALABAMA,Metropolitan County,Bibb,34,0,5,0,29,78,26,43,9,0,2024,AL,BIBB,01007,"Bibb County, AL",8710.0,8446.0,264.0,3.0,52541.0,22.5,11.7
ALABAMA,Metropolitan County,Blount,82,1,18,2,61,298,66,180,52,2,2024,AL,BLOUNT,01009,"Blount County, AL",26922.0,26204.0,718.0,2.7,64190.0,12.9,15.8
ALABAMA,Metropolitan County,Calhoun,238,2,5,0,231,192,48,144,0,8,2024,AL,CALHOUN,01015,"Calhoun County, AL",49605.0,47995.0,1610.0,3.2,55029.0,17.9,20.6
ALABAMA,Metropolitan County,Chilton,64,2,5,2,55,419,181,189,49,4,2024,AL,CHILTON,01021,"Chilton County, AL",20082.0,19520.0,562.0,2.8,65603.0,14.0,16.5
ALABAMA,Metropolitan County,Colbert,15,0,1,0,14,90,19,55,16,1,2024,AL,COLBERT,01033,"Colbert County, AL",25868.0,25014.0,854.0,3.3,60628.0,17.4,21.7
ALABAMA,Metropolitan County,Elmore,41,2,3,0,36,314,105,188,21,1,2024,AL,ELMORE,01051,"Elmore County, AL",42656.0,41557.0,1099.0,2.6,78243.0,10.3,25.4
ALABAMA,Metropolitan County,Etowah,13,2,0,0,11,55,14,33,8,4,2024,AL,ETOWAH,01055,"Etowah County, AL",42095.0,40710.0,1385.0,3.3,54563.0,16.9,18.1
ALABAMA,Metropolitan County,Geneva,0,0,0,0,0,0,0,0,0,0,2024,AL,GENEVA,01061,"Geneva County, AL",11518.0,11183.0,335.0,2.9,52771.0,19.2,13.2
ALABAMA,Metropolitan County,Greene,2,0,0,0,2,4,0,4,0,1,2024,AL,GREENE,01063,"Greene County, AL",2375.0,2215.0,160.0,6.7,29200.0,40.1,15.1
ALABAMA,Metropolitan County,Henry,15,0,0,2,13,71,21,36,14,0,2024,AL,HENRY,01067,"Henry County, AL",7936.0,7683.0,253.0,3.2,59931.0,18.3,21.8
ALABAMA,Metropolitan County,Houston,147,1,28,2,116,495,137,298,60,13,2024,AL,HOUSTON,01069,"Houston County, AL",48337.0,46815.0,1522.0,3.1,58626.0,17.5,23.0
ALABAMA,Metropolitan County,Jefferson,650,11,24,79,536,2725,663,1663,399,17,2024,AL,JEFFERSON,01073,"Jefferson County, AL",320435.0,310499.0,9936.0,3.1,66388.0,15.7,36.2
ALABAMA,Metropolitan County,Lauderdale,95,1,14,0,80,274,41,191,42,0,2024,AL,LAUDERDALE,01077,"Lauderdale County, AL",43254.0,41855.0,1399.0,3.2,62649.0,12.2,29.8
ALABAMA,Metropolitan County,Lawrence,19,0,0,3,16,50,11,25,14,1,2024,AL,LAWRENCE,01079,"Lawrence County, AL",15870.0,15438.0,432.0,2.7,66071.0,13.3,15.2
ALABAMA,Metropolitan County,Lee,216,5,26,6,179,539,80,391,68,3,2024,AL,LEE,01081,"Lee County, AL",88941.0,86408.0,2533.0,2.8,65824.0,18.9,42.4
ALABAMA,Metropolitan County,Lowndes,16,0,0,0,16,15,1,14,0,0,2024,AL,LOWNDES,01085,"Lowndes County, AL",3846.0,3666.0,180.0,4.7,37052.0,29.9,14.4
ALABAMA,Metropolitan County,Macon,10,6,1,0,3,12,5,6,1,0,2024,AL,MACON,01087,"Macon County, AL",7675.0,7341.0,334.0,4.4,43707.0,24.3,21.1
ALABAMA,Metropolitan County,Madison,286,8,30,9,239,1288,307,813,168,10,2024,AL,MADISON,01089,"Madison County, AL",219990.0,214307.0,5683.0,2.6,86499.0,10.1,46.4
ALABAMA,Metropolitan County,Mobile,265,6,15,13,231,800,189,474,137,8,2024,AL,MOBILE,01097,"Mobile County, AL",186408.0,179356.0,7052.0,3.8,58880.0,16.2,26.0
ALABAMA,Metropolitan County,Montgomery,80,2,14,11,53,390,46,293,51,0,2024,AL,MONTGOMERY,01101,"Montgomery County, AL",103732.0,100238.0,3494.0,3.4,59386.0,19.9,34.5
ALABAMA,Metropolitan County,Pickens,28,1,2,4,21,55,14,38,3,1,2024,AL,PICKENS,01107,"Pickens County, AL",6864.0,6596.0,268.0,3.9,46274.0,20.0,13.1
